title,release_date,genres,original_language,vote_average,vote_count,popularity,budget,production_companies,revenue,runtime,profit
The Pope's Exorcist,2023-04-05,"['Horror', 'Mystery', 'Thriller']",English,7.4,619,5089.969,18000000,"['Screen Gems', '2.0 Entertainment', 'Jesus & Mary', 'Worldwide Katz', 'Loyola Productions', 'FFILME.RO']",65675816,103,47675816
Ant-Man and the Wasp: Quantumania,2023-02-15,"['Action', 'Adventure', 'Science Fiction']",English,6.6,2294,4665.438,200000000,"['Marvel Studios', 'Kevin Feige Productions']",464566092,125,264566092
The Super Mario Bros. Movie,2023-04-05,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy']",English,7.5,1861,3935.55,100000000,"['Universal Pictures', 'Illumination', 'Nintendo']",1121048165,92,1021048165
Ghosted,2023-04-18,"['Action', 'Comedy', 'Romance']",English,7.2,652,2791.532,0,"['Skydance Media', 'Apple Studios']",0,120,0
Shazam! Fury of the Gods,2023-03-15,"['Action', 'Comedy', 'Fantasy', 'Adventure']",English,6.8,1510,2702.593,125000000,"['New Line Cinema', 'The Safran Company', 'DC Films', 'Warner Bros. Pictures']",133437105,130,8437105
Avatar: The Way of Water,2022-12-14,"['Science Fiction', 'Adventure', 'Action']",English,7.7,7853,2280.912,460000000,"['20th Century Studios', 'Lightstorm Entertainment']",2319331580,192,1859331580
Guardians of the Galaxy Volume 3,2023-05-03,"['Science Fiction', 'Adventure', 'Action']",English,8.3,683,2520.308,250000000,"['Marvel Studios', 'Kevin Feige Productions']",289312702,150,39312702
Scream VI,2023-03-08,"['Horror', 'Mystery', 'Thriller']",English,7.3,1029,1862.283,35000000,"['Radio Silence', 'Project X Entertainment', 'Spyglass Media Group', 'Paramount']",168541093,123,133541093
Creed III,2023-03-01,"['Drama', 'Action']",English,7.3,1298,1894.044,75000000,"['Metro-Goldwyn-Mayer', 'Proximity Media', 'Balboa Productions', 'Outlier Society Productions', 'Chartoff-Winkler Productions']",269000000,116,194000000
Dungeons & Dragons: Honor Among Thieves,2023-03-23,"['Adventure', 'Fantasy', 'Comedy']",English,7.5,964,1655.052,151000000,"['Entertainment One', 'Paramount', 'Allspark Pictures', 'Sierra/Affinity']",202484920,134,51484920
The Last Kingdom: Seven Kings Must Die,2023-04-14,"['Action', 'Adventure', 'History', 'Drama', 'War']",English,7.3,317,1436.725,0,['Carnival Films'],0,111,0
Peter Pan & Wendy,2023-04-20,"['Family', 'Fantasy', 'Action', 'Adventure']",English,5.9,277,1358.468,0,"['Walt Disney Pictures', 'Whitaker Entertainment']",0,106,0
John Wick: Chapter 4,2023-03-22,"['Action', 'Thriller', 'Crime']",English,7.9,1340,1170.178,90000000,"['Thunder Road', '87Eleven', 'Summit Entertainment', 'Studio Babelsberg', 'Lionsgate']",406056266,170,316056266
